Name        TYCHO_1       HIP      dec                     dec_error             parallax                parallax_error        ra                   ra_error              source_id             G_mean               Err_G                   RRt_1   <Vmag>   e_<Vmag>   AV      Met_ZW   <Kmag>   e_<Kmag>   <W1mag>   e_<W1mag>   LogP                   Err_[Fe/H]   Met_Harris             
  IK_Hya      6675-28-1     58907    -27.678890445394522     0.10363499862036454   1.2469815854957242      0.29159835499521347   181.1966680748341    0.2054142000864661    3486473753028871808   10.024611099567544   0.010865088771416273    AB      10.113   0.018      0.186   -1.36    8.758    0.036      8.729     0.0080      -0.18681947881272964   0.2          -1.3000000143051147    
  FW_Lup      7839-1841-1   75234    -40.926796690346876     0.1625429881762945    2.7430770672463387      0.2362778356519223    230.60573504953032   0.23683232290665956   6005656893165960704   8.89283084524589     0.01181022333247985     AB      9.02     0.012      0.295   -0.59    7.659    0.042      7.642     0.013       -0.3149752142099811    0.2          -0.5299999737739562    
  SW_And      1737-1702-1   1878     29.400928769965176      0.3103195036278571    1.765464718966236       0.26120297797500186   5.929508401106128    0.17505201988609226   2857456207478683776   9.629005337838553    0.032469337222018974    AB      9.712    0.0090     0.113   -0.38    8.509    0.034      8.464     0.0090      -0.3542830686367278    0.2          -0.3199999952316284    
  CI_And      2828-830-1    8939     43.765683909977994      0.18547932368430697   0.37919526007900006     0.2654614696074129    28.784551060739517   0.2456068152817248    349612811796499584    12.033287753738191   0.029820326575423745    AB      12.244   0.018      0.211   -0.83    10.929   0.035      10.978    0.0060      -0.314437379059779     0.2          -0.7699999833106994    
  WY_Ant      6630-1689-1   50289    -29.728658449090226     0.1664696733004681    0.8280155206118993      0.22792308060263677   154.02078244206714   0.1547260177508618    5461994297841116160   10.77770985465293    0.013125737745660986    AB      10.862   0.0060     0.223   -1.66    9.625    0.037      9.53      0.01        -0.24078556292518938   0.2          -1.5999999666213989    
  TY_Aps      9266-2648-1   72444    -71.32827419908874      0.1737648985547384    0.7584181313265164      0.2585218796743757    222.20789063783968   0.19426649349564376   5797234602876902272   11.708569817519454   0.018180718841026452    AB      11.87    0.012      0.52    -1.21    10.451   0.039      10.332    0.0060      -0.29955591275883575   0.2          -1.1500000381469726    
  SW_Aqr      528-1261-1    104930   0.07611921380963108     0.2067297874482       0.761060661537844       0.23006477134781425   318.8242061880042    0.185125863660169     2689556486950807040   11.206767738846175   0.04161865922987836     AB      11.176   0.0050     0.233   -1.24    10.056   0.037      10.071    0.045       -0.3378090108539519    0.2          -1.180000009536743     
  SX_Aqr      546-661-1     106645   3.2303690402922736      0.20339151999303398   0.6368332702140537      0.2841801667938584    324.03501487883136   0.22352429064439633   2697816774212075904   11.845503624010881   0.012854249322713644    AB      11.754   0.0070     0.148   -1.83    10.639   0.036      10.58     0.0090      -0.2710783348396396    0.2          -1.7700000429153442    
  BR_Aqr      5829-1043-1   116664   -9.318776858993584      0.14893355054611362   0.8245585448834541      0.28470789958217474   354.6370863474009    0.25529183979908376   2438710605654285312   11.45044483619587    0.01723911923321815     AB      11.45    0.0070     0.083   -0.84    10.369   0.037      10.299    0.017       -0.3170430678114661    0.2          -0.7799999737739562    
  DN_Aqr      6973-1111-1   115135   -24.216403716546907     0.25737978224178615   0.5287790201126666      0.24609028418818613   349.8218859562704    0.19041454666575408   2381771777534596864   11.087081193786188   0.019971104139121818    AB      11.182   0.0080     0.077   -1.63    9.901    0.037      9.897     0.022       -0.3768541252634236    0.2          -1.5699999952316284    
  V0341_Aql   510-1223-1    101356   0.5851761557434676      0.21826313316489138   0.7453555275406097      0.2521849509745189    308.131613527343     0.20920223391150072   4229920119381310080   10.840617229112503   0.046104610480369415    AB      10.865   0.0070     0.045   -1.37    9.733    0.038      9.653     0.0060      -0.2379219257023621    0.2          -1.3100000047683715    
  MS_Ara      8743-2210-1   88402    -52.72253272078445      0.45491373213842495   0.739740837429035       0.46855508544278035   270.76782697691345   0.3412336403827534    6701723997807118464   11.909033525686123   0.03203111256010328     AB      12.047   0.018      0.435   -1.48    10.662   0.037      10.581    0.0070      -0.27984071631668606   0.2          -1.4200000190734863    
  X_Ari       651-83-1      14601    10.445522754317608      0.15630528003869532   2.0247242375026517      0.2227813944674136    47.12896831762014    0.20710380141487808   15489404416044288     9.53768019422588     0.014997364668389515    AB      9.551    0.0050     0.537   -2.4     7.938    0.036      7.865     0.0090      -0.18628561047212502   0.2          -2.3400000953674316    
  TZ_Aur      2948-760-1    34743    40.776956552410645      0.25520155178286424   0.8371984582792241      0.3072400770125215    107.89590136391277   0.17124705711999366   949205983077666944    11.904408494236613   0.01517881741856702     AB      11.909   0.018      0.301   -0.8     10.669   0.036      10.77     0.0090      -0.4070464289279548    0.2          -0.7400000119209289    
  RS_Boo      2553-1108-1   71186    31.754612518191525      0.19449170633377927   1.5163794450360284      0.279617058359891     218.38841311634582   0.14836056466312422   1286188051969685632   10.397889788729389   0.024932500412367165    AB      10.374   0.018      0.036   -0.32    9.522    0.038      9.388     0.0060      -0.4231980917150943    0.2          -0.25999999284744263   
  ST_Boo      2570-206-1    75942    35.78448361570103       0.3131377778487479    0.6885569479201098      0.3261622742823025    232.66337173371346   0.21042594324658123   1374971554328855424   11.000804910341952   0.015958958948425996    AB      11.014   0.018      0.065   -1.86    9.933    0.035      9.807     0.0050      -0.206000178915739     0.2          -1.8000000143051147    
  TW_Boo      3046-992-1    72115    41.02870723614103       0.18465394327694662   0.715698661270861       0.23592551938349093   221.27477329958845   0.14610522719792193   1489614951696832512   11.257742421283982   0.019607956190971713    AB      11.264   0.018      0.041   -1.41    10.176   0.036      10.108    0.0040      -0.27384353756206076   0.2          -1.3499999666213989    
  UY_Boo      907-1037-1    68292    12.951599235644021      0.12864508188808962   0.21477822388701373     0.25960562548142013   209.69308025665993   0.22799939604118993   3727833391597367424   10.885885449011813   0.024987265256779478    AB      10.923   0.0090     0.1     -2.56    9.82     0.036      9.685     0.0060      -0.18648572425845755   0.2          -2.499999942779541     
  TT_Cnc      808-590-1     41936    13.191100977065824      0.23147953312604802   0.8006849225889321      0.39637477147534833   128.22974568522608   0.3167359913496874    603291103764056960    11.209881998351438   0.022117555967068485    AB      11.341   0.0070     0.13    -1.58    9.973    0.034      9.92      0.0040      -0.24910608954044644   0.2          -1.5200000429153442    
  W_CVn       3034-976-1    68908    37.82811120442067       0.16724385330289568   1.2756370554080656      0.23672483835739902   211.61648898943034   0.12320803022624653   1483653708889398656   10.501867770951964   0.018884737375002413    AB      10.548   0.012      0.015   -1.21    9.38     0.035      9.33      0.0060      -0.25821829394904705   0.2          -1.1500000381469726    
  RZ_CVn      2540-1136-1   67087    32.654641716008975      0.1424284511340832    0.6488076808887078      0.25573773983614356   206.26230558457382   0.13768532455841564   1458363360901873152   11.62260564719282    0.011214075842585967    AB      11.519   0.012      0.042   -1.92    10.48    0.036      10.401    0.0050      -0.24603413778396294   0.2          -1.8599999570846557    
  SS_CVn      3027-152-1    67354    39.90065707416486       0.12571646790148833   0.377407620050748       0.2288177335490596    207.06646772225278   0.12830184096539837   1497236182185018880   11.843072329100943   0.015580250327942479    AB      11.889   0.018      0.02    -1.52    10.938   0.036      10.823    0.0040      -0.3200273099197213    0.2          -1.4599999809265136    
  UZ_CVn      3018-255-1    61029    40.508790651396055      0.15525676273970787   0.40744589336713        0.246898548600945     187.6153946057252    0.19788555813418926   1533880980593444352   12.02460788966855    0.018097626021350295    AB      12.099   0.018      0.057   -1.89    10.889   0.037      10.833    0.0050      -0.15620680339512044   0.2          -1.8299999856948852    
  AA_CMi      164-182-1     35281    1.7277924818848074      0.15780728890388346   0.8194698271404666      0.23064935247928275   109.3298618786657    0.16545461440334502   3111925220109675136   11.51321531797613    0.022217436534829643    AB      11.552   0.018      0.257   -0.55    10.287   0.036      10.221    0.01        -0.32202825818699315   0.2          -0.49000001192092896   
  RV_Cap      6345-376-1    103755   -15.22991531968812      0.24447577074800161   0.27501908449408097     0.2679306581215845    315.370384467622     0.23522940621610275   6883653108749373568   11.152053195457142   0.023142991708534528    AB      11.04    0.0060     0.126   -1.72    9.789    0.038      9.964     0.012       -0.34891590062920463   0.2          -1.6600000286102294    
  V0363_Cas   4014-1751-1   1222     60.34045889404856       0.15718713347666782   0.7609630661929305      0.22982605378610205   3.8097096744811307   0.1585452181331604    429162271910068352    10.164500621558547   0.010086162170269242    AB      10.548   0.012      1.133   -0.72    8.283    0.034      8.277     0.0030      -0.262409812115008     0.2          -0.6600000286102294    
  V0499_Cen   7802-553-1    67976    -43.24032489121693      0.5283242636981156    0.8032534655734024      0.7334476651376679    208.81159624265197   0.30755318451916674   6108774866054295168   10.97964213928347    0.05204030470533913     AB      11.101   0.0080     0.249   -1.56    9.926    0.038      9.829     0.0070      -0.28291226021573634   0.2          -1.499999942779541     
  RU_Cet      5848-2292-1   4725     -15.95776855170253      0.13275860162967815   0.7338493217584706      0.24775835611574007   15.168029082982434   0.22549821118019558   2371321778506174976   11.64714460603227    0.016559626974240665    AB      11.638   0.0090     0.071   -1.6     10.501   0.038      10.519    0.0080      -0.2318800943711588    0.2          -1.5400000238418579    
